ID;Nom;Categorie;Photo;Reference;EstDansCarte;Remarque;Sync_Prix;EstCocktail;Quantite;ID_VERRE;DateCreation;estBrochette;Ref_Lettre;Ref_Chiffre;Ref_DerniereLettre
1532;Le triangle des Bermudes ;tequilaterie;0x;J33;1;verre palladio/bonbon piment ;13;1;50;4;;1;J;33;
1533;Cools-Cools;freaky;0x;L57;1;palladio/facon freaky;15;1;50;4;;1;L;57;
1534;liqueur  pop corn maison;bar;0x;Z0D;0;;25;1;150;9;;1;Z;0;D
1535;La charrue avant les beuh;beertail;0x;N40;1;verre bagarre /bt biere retournee ;15;1;200;13;;1;N;40;
1536;Ménarde le doudou;sweety;0x;S10;1;verre palladio;15;1;50;4;;1;S;10;
1537;Les Kassos ;Mocktail;0x;A13;1;verre pyramide + ,bt retournée;10;1;100;8;;1;A;13;
1538;la dialyse ;pharmacocktailerie;0x;C41;1;verre palladio;13;1;50;4;;1;C;41;
1539;Game ovaires ;les anecdotiques;0x;V6;1;verre palladio;13;1;50;4;;1;V;6;
1540;Komsébizar;mojito party;0x;M2;1;verre E18+reglisse ;13;1;50;6;;1;M;2;
1541;clitoturbo;rhumerie;0x;I25;1;verre pyramide+bonbon piment +nenette;13;1;50;6;;1;I;25;
1542;Komsététrange ;sweety;0x;S64;1;verre monster ecrase;15;1;75;7;;1;S;64;
1543;Shukumei;hardcore;0x;Y1J;1;verre diamant long;25;1;75;7;;1;Y;1;J
1544;La Sangsue ;signature;0x;B28;1;verre palladio;15;1;50;4;45419;1;B;28;
1545;Le Floutche;signature;0x;B27;1;verre palladio;15;1;50;4;45419;1;B;27;
1546;Cachalot Neurasthénique;vodkaterie;0x;H7;1;verre bocal poisson;15;1;200;13;45423;1;H;7;
1547;My little Reindeer;rhumerie;0x;I43;1;verre bartender ;13;1;50;4;45423;1;I;43;
1548;Fallout ;films & series incontournables;0x;D73;1;verre sangria ;13;1;65;5;45423;1;D;73;
1549;Réglissada;vodkaterie;0x;H15;1;shaker fort + verre cabernet + bonbon reglisse ;13;1;65;5;45423;1;H;15;
1550;coqueluche du cul;rhumerie;0x;I48;1;verre sangria ;13;1;65;5;;1;I;48;
1551;Smashing Pumpkins;culturalisation;0x;Y11;1;palladio;13;1;50;4;;1;Y;11;
1552;The Cardigans ;culturalisation;0x;Y15;1;verre bartender +cerise ;13;1;50;4;45427;1;Y;15;
1553;Vol au dessus d'un nid de coucou;films & series incontournables;0x;D79;1;verre sangira ;13;1;65;5;45427;1;D;79;
1554;Linkin park;culturalisation;0x;Y22;1;shaker +verre coupe a glace + cerise facon colada et bareb a papa coco;13;1;65;5;45427;1;Y;22;
1555;Cafard-tholique;les anecdotiques;0x;V12;1;verre sangria;13;1;65;5;45427;1;V;12;
1556;Crazy-Tropi;signature;0x;B13;1;verre palladio;13;1;50;4;45444;1;B;13;
1557;La cage aux folles ;films & series incontournables;0x;D103;1;verre palladio ;13;1;50;4;45459;1;D;103;
1558;La folle floche ;rhumerie;0x;I50;1;verre skull+jarritos retourenee;15;1;50;6;45459;1;I;50;
1559;Hup Hup Hup Barbatruc;les anecdotiques;0x;V78;1;verre palladio;13;1;50;4;;1;V;78;
1560;Mr Coincoin;signature;0x;B46;1;verre cabernet ;12;1;65;5;;1;B;46;
1561;Limocello Spritz revisité;signature;0x;B52;1;verre cabernet - max 10cl eau pet.-tete de menthe dans tranche de citron -mélanger ;13;1;65;5;;1;B;52;
